Time,S(t),I_h(t),R_h(t),S_v(t),I_v(t)
3.003003003,3.538368,148.46985,24.903858,74.88493,57.17158
3.033033033,3.5045042,148.91281,25.260117,74.73207,57.70043
3.063063063,3.471852,149.34692,25.61742,74.58071,58.220394
3.093093093,3.440355,149.7724,25.975746,74.43091,58.731564
3.123123123,3.40996,150.18944,26.335073,74.28271,59.23403
3.153153153,3.3806174,150.59822,26.695383,74.13615,59.727898
3.183183183,3.35228,150.99895,27.056656,73.99127,60.213257
3.213213213,3.3249032,151.3918,27.418873,73.84811,60.69021
3.243243243,3.2984457,151.77696,27.782015,73.70669,61.15886
3.273273273,3.2728677,152.1546,28.146063,73.56704,61.61931
3.303303303,3.2481318,152.52489,28.511,73.429184,62.071663
3.333333333,3.2242024,152.88797,28.876808,73.293144,62.516026
3.363363363,3.2010462,153.24402,29.243471,73.15893,62.952503
3.393393393,3.1786315,153.59319,29.610971,73.02656,63.381203
3.423423423,3.1569283,153.93561,29.979292,72.896034,63.80223
3.453453453,3.1359076,154.27144,30.348417,72.767365,64.2157
3.483483483,3.1155427,154.60083,30.718332,72.64056,64.62171
3.513513514,3.0958073,154.9239,31.089022,72.51561,65.02038
3.543543544,3.0766773,155.2408,31.46047,72.392525,65.411804
3.573573574,3.0581293,155.55164,31.832663,72.2713,65.7961
3.603603604,3.0401413,155.85655,32.205585,72.15193,66.17336
3.633633634,3.0226922,156.15567,32.579224,72.03442,66.54372
3.663663664,3.0057614,156.44911,32.953564,71.91874,66.90726
3.693693694,2.9893303,156.73698,33.328594,71.8049,67.26409
3.723723724,2.9733803,157.01941,33.7043,71.69289,67.61433
3.753753754,2.9578943,157.2965,34.080666,71.58269,67.95807
3.783783784,2.9428551,157.56836,34.457684,71.47429,68.295425
3.813813814,2.928247,157.8351,34.83534,71.367676,68.626495
3.843843844,2.9140549,158.09682,35.213615,71.26283,68.951385
3.873873874,2.900264,158.3536,35.592506,71.159744,69.270195
3.903903904,2.8868606,158.60559,35.972,71.0584,69.58302
3.933933934,2.8738313,158.85284,36.352085,70.958786,69.88998
3.963963964,2.8611631,159.09547,36.732746,70.86087,70.19115
3.993993994,2.8488445,159.33356,37.113976,70.76464,70.48663
4.024024024,2.8368633,159.5672,37.49576,70.67008,70.77654
4.054054054,2.825208,159.79648,37.878094,70.57717,71.06096
4.084084084,2.8138683,160.02148,38.260963,70.48589,71.33998
